sensitivity,batch_size,learning_rate,hidden_dims,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,roc_auc,average_precision,threshold,true_negatives,false_positives,false_negatives,true_positives,final_train_loss,elapsed_seconds,objective
97.5,128,0.0001,16-8-4,0.9732918236932656,0.049789029535864976,0.7972972972972973,0.0937251787132645,0.973597204961662,0.026402795038337985,0.20270270270270271,0.9269740465252458,0.3871189812567161,0.020581884309649467,41521,1126,15,59,0.007697814201563596,7.655447665951215,0.5732419080618714
97.5,128,0.0005,32-16-8,0.973947239062756,0.05254091300602928,0.8243243243243243,0.09878542510121457,0.9742068609749807,0.025793139025019344,0.17567567567567569,0.9398021723273207,0.3797807961430008,0.009853535331785679,41547,1100,13,61,0.0029722950791567565,8.823597249982413,0.5729653077115722
99.5,256,0.0001,32-16-8,0.9946630462770066,0.20610687022900764,0.7297297297297297,0.32142857142857145,0.9951227518934509,0.004877248106549112,0.2702702702702703,0.9351757260578515,0.39296776240216275,0.03624889254570007,42439,208,20,54,0.006774138867557049,6.18600891699316,0.5729615707813206
95.0,128,0.0001,64-32-16-8,0.9493223473233304,0.027564392227745142,0.8243243243243243,0.05334499344118933,0.9495392407437804,0.050460759256219664,0.17567567567567569,0.9332162079776215,0.3917381824859826,0.008365227840840816,40495,2152,13,61,0.003457262492403388,11.444319833011832,0.5725888839389538
99.0,512,0.0001,16-8-4,0.9890686079445706,0.11394891944990176,0.7837837837837838,0.19897084048027444,0.989424812999742,0.01057518700025793,0.21621621621621623,0.9279558652140545,0.3782081168923765,0.0391802042722702,42196,451,16,58,0.014235975871384143,4.346977750014048,0.5688664693381934
99.5,256,0.001,16-8-4,0.9947332693523092,0.2084942084942085,0.7297297297297297,0.32432432432432434,0.9951930968180646,0.004806903181935424,0.2702702702702703,0.9336173641693374,0.38873037665399557,0.0382201224565506,42442,205,20,54,0.006463193898499012,5.587842917011585,0.5687593574954604
95.0,128,0.0001,32-16-8,0.9498607242339833,0.028284671532846715,0.8378378378378378,0.05472197705207414,0.9500551035242807,0.04994489647571928,0.16216216216216217,0.9400016413815744,0.3837775133604185,0.008550779893994331,40517,2130,12,62,0.003602281916961074,9.420449750032276,0.5682645245820184
97.5,512,0.0005,16-8-4,0.9741579082886637,0.05139372822299652,0.7972972972972973,0.09656301145662848,0.9744647923652309,0.02553520763476915,0.20270270270270271,0.926051957648553,0.3805388754473918,0.020816130563616753,41558,1089,15,59,0.007790957387536764,4.2965604169876315,0.5670955959543315
95.0,256,0.001,64-32-16-8,0.949298939631563,0.027551942186088526,0.8243243243243243,0.05332167832167832,0.9495157924355758,0.050484207564424226,0.17567567567567569,0.9428033973429899,0.386222449370097,0.006884268019348383,40494,2153,13,61,0.0028272370344400405,7.765105375030544,0.567061426668966
95.0,256,0.001,32-16-8,0.9499543550010533,0.0283363802559415,0.8378378378378378,0.05481874447391689,0.950148896757099,0.049851103242901026,0.16216216216216217,0.9379025424937212,0.38047671079828516,0.007639770861715078,40521,2126,12,62,0.003156025677770376,6.493830083985813,0.5650106186362941
